,song,artist,text
82,Lonely Eyes,Chris Young,"""Lonely Eyes"" by Chris Young:
    [Verse 1]
    Tuesday night, crowded bar
    Some guy lights a cheap cigar
    Bartender yells at him
    So he walk..."
83,Suge,DaBaby,"""Suge"" by DaBaby:
    [Intro]
    Pooh, you a fool for this one
    Ha
    Oh Lord, Jetson made another one
    
    [Chorus]
    Hah
    Pack in the ..."
84,Homegrown Honey,Darius Rucker,"""Homegrown Honey"" by Darius Rucker:
    [Verse 1]
    Sitting at a bar in New York City
    Everybody here looking New York pretty
    But you’re the ki..."
85,Dancing With A Stranger,Sam Smith & Normani,"""Dancing with a Stranger"" by Sam Smith & Normani:
    [Intro: Sam Smith]
    Hmm, mhm
    
    [Verse 1: Sam Smith]
    I don't wanna be alone tonight (Alone tonight)
    It'..."
86,Heartbeat Song,Kelly Clarkson,"""Heartbeat Song"" by Kelly Clarkson:
    [Intro]
    This is my heartbeat song and I'm gonna play it
    Been so long, I forgot how to turn it
    Up, up..."
87,Body Language,Kid Ink Featuring Usher & Tinashe,"""Body Language"" by Kid Ink:
    [Intro: Kid Ink]
    It's Kid Ink, yeah yeah, watch this
    
    [Chorus: Usher, Kid Ink & Tinashe]
    It's not a ..."
88,I Don't Care,Ed Sheeran & Justin Bieber,"""I Don’t Care"" by Ed Sheeran & Justin Bieber:
    [Verse 1: Ed Sheeran]
    I'm at a party I don't wanna be at
    And I don't ever wear a suit and tie, yeah
    ..."
89,God Made Girls,RaeLynn,"""God Made Girls"" by RaeLynn:
    [Verse 1]
    Somebody's gotta wear a pretty skirt
    Somebody's gotta be the one to flirt
    Somebody's gotta..."
90,Somebody,Natalie La Rose Featuring Jeremih,"""Somebody"" by Natalie La Rose:
    [Intro]
    Come on
    Natalie La Rose
    
    [Chorus: Jeremih]
    I wanna rock with somebody
    I wanna take shots wit..."
91,Nightmare,Halsey,"""Nightmare"" by Halsey:
    [Intro]
    Now I lay me down to sleep
    I pray the Lord, my soul to keep
    If I shall die before I wake
    I p..."
92,Homegrown,Zac Brown Band,"""Homegrown"" by Zac Brown Band:
    [Verse 1]
    I got a piece of land out in the countryside
    Lay back and smell the sun warm up the Georgi..."
93,ME!,Taylor Swift Featuring Brendon Urie,"""Taylor Swift - ME!"" by Genius Translations:
    [Intro: Taylor Swift]
    
    Prometto che non troverai mai qualcuno come me
    
    [Strofa 1: Taylor Swift]
    
    So ..."
94,Like A Cowboy,Randy Houser,"""Like a Cowboy"" by Randy Houser:
    Every time I fall I get back up again
    Cinch my saddle up and find me another wind
    Let it take me whe..."
95,All About It,Hoodie Allen Featuring Ed Sheeran,"""All About It"" by Hoodie Allen:
    [Intro: Ed Sheeran]
    Oh-oh-oh-oh-oh, no oh-oh-oh-oh
    Said I'm all about it
    
    [Hook: Hoodie Allen]
    Cause..."
96,Geronimo,Sheppard,"""Geronimo"" by Sheppard:
    [Verse 1]
    Can you feel it? Now it's coming back
    We can steal it if we bridge this gap
    I can see you ..."
97,Can't Stop Dancin',Becky G,"""Can’t Stop Dancin’"" by Becky G.:
    [Verse 1]
    The lights are shining like the sun out tonight
    Just keep your body moving how I like
    Oh y..."
98,Bad Guy,Billie Eilish,"""​bad guy"" by Billie Eilish:
    [Verse 1]
    White shirt now red, my bloody nose
    Sleepin', you're on your tippy toes
    Creepin' around li..."
99,If I Can't Have You,Shawn Mendes,"""If I Can’t Have You"" by Shawn Mendes:
    [Chorus]
    I can't write one song that's not about you
    Can't drink without thinking about you
    Is it to..."
100,Worth It,Fifth Harmony Featuring Kid Ink,"""Worth It"" by Fifth Harmony:
    [Chorus: Camila]
    Give it to me I'm worth it, baby I'm worth it
    Uh huh I'm worth it, gimme gimme I'm ..."
101,Til It's Gone,Kenny Chesney,"""Til It’s Gone"" by Kenny Chesney:
    [Verse 1]
    Got nowhere to go and all night to get there
    But I'm going there with you
    Tonight we're ru..."
102,Sweet But Psycho,Ava Max,"""Sweet But Psycho"" by Ava Max:
    [Chorus]
    Oh, she's sweet but a psycho
    A little bit psycho
    At night she's screamin', ""I'm-ma-ma-ma ou..."
103,Post To Be,Omarion Featuring Chris Brown & Jhene Aiko,"""Post To Be (Omarion, Chris Brown, and Jhene Aiko Remix)"" by Alan Z and DJ Xross:
    Chorus:
    (Alan Z): If your chick come close to me
    She ain't going home when she post to be
    I'm gettin..."
